survey_date,article_url,total_active,total_is_rounded,new,returning,continuing,quit,deleted,prev_survey_date,prev_total,method_change_note,confidence,note
2024-08-27,https://luckybancho.ldblog.jp/archives/58615522.html,1440000,TRUE,120000,300000,1020000,未取得,未取得,2024-06-12,1220000,キャラクター情報、プロフィール、装備やレベル、ミニオン、マウントなど基本的にLodestoneでのキャラクター情報の全ての項目で公開範囲を細かく設定できるようになった,medium,内訳合計144万＝総数144万（整合）。地域別：JP プロフィール公開97%/非公開3%、JP以外 公開99.3%/非公開0.7%、Dynamis DC(北米)アクティブ7万。黄金開始109万/Lv100到達76万/ストーリークリア68万。
2024-06-12,https://luckybancho.ldblog.jp/archives/58438400.html,1220000,TRUE,100000,210000,920000,未取得,未取得,2024-03-31,1180000,記載なし,medium,内訳合計123万≒総数122万（丸め整合）。地域別：JP 39.7万（前回39.9万）。暁月開始116万/到達96万/クリア87万。
2024-03-31,https://luckybancho.ldblog.jp/archives/58269981.html,1180000,TRUE,80000,220000,870000,未取得,未取得,2023-12-24,1110000,フリートライアル範囲拡大に伴う足切り基準の見直しへの言及あり（実際の基準変更は前回2023/12/24でLv70超に実施済み）,medium,内訳合計117万≒総数118万（丸め整合）。暁月開始115万/到達91万/クリア83万。
2023-12-24,https://luckybancho.ldblog.jp/archives/58049846.html,1110000,TRUE,100000,220000,790000,未取得,未取得,2023-10-08,1250000,【型2:連続調査値のみ】パッチ6.5でフリートライアルの対象範囲が紅蓮のリベレーターのレベル上限70まで開放されたことでアクティブキャラクター判定の足切り基準もレベル70より上に修正。同一日の旧基準(Lv60超)値は記事に併記なし＝定義変更の効果は分離不能,medium,内訳合計111万＝総数111万（整合）。記事の125万は前回(2023/10/8)の調査値：『アクティブキャラクター数は前回(125万)から14万減少の約111万』。この-14万には定義変更・実勢変化・窓長効果が混在し、基準変更単独の影響量は記事に明記なし。過去回の再集計記述もなし。暁月開始105万/到達88万/クリア81万。
2023-10-08,https://luckybancho.ldblog.jp/archives/57887970.html,1250000,TRUE,110000,260000,870000,未取得,未取得,2023-07-22,1130000,記載なし,medium,内訳合計124万≒総数125万（丸め整合）。データ収集完了10/3。暁月開始109万/到達90万/クリア82万。
2023-07-22,https://luckybancho.ldblog.jp/archives/57719554.html,1130000,TRUE,80000,160000,880000,未取得,未取得,2023-05-20,1390000,パッチ6.45のリリース日予測を見誤ってデータ収集開始が遅れ、一部のキャラクターがパッチ6.45を挟んでしまった（収集タイミングの不整合）,medium,内訳合計112万≒総数113万（丸め整合）。暁月開始101万/到達85万/クリア78万。
2023-05-20,https://luckybancho.ldblog.jp/archives/57565553.html,1390000,TRUE,未取得,未取得,未取得,未取得,未取得,2023-03-06,未取得,記載なし,high,『アクティブキャラクターは139万、暁月キャラクターは111万』と記載。内訳は『アクティブキャラクター数、新規キャラクター数、復帰キャラクター数、継続キャラクター数などベーシックな部分は前回とほぼ同様の数字』とのみで数値記載なし。前回総数の明記も無し（次回記事が前回=139万と記載）。暁月到達89万/クリア81万。
2023-03-06,https://luckybancho.ldblog.jp/archives/57382690.html,1390000,TRUE,100000,420000,860000,未取得,未取得,2022-12-31,1360000,前回まではリージョン単位の集計だったが、北米新設DCのDynamisの動向を継続的に追う為にDC単位での集計に切り替えた（集計粒度の変更）,medium,内訳合計138万≒総数139万（丸め整合）。暁月開始108万/到達85万/クリア77万。
2022-12-31,https://luckybancho.ldblog.jp/archives/57226622.html,1360000,TRUE,150000,440000,780000,未取得,未取得,2022-10-16,1450000,記載なし（足切りはレベル60超のまま）,medium,内訳合計137万≒総数136万（丸め整合）。暁月開始105万/到達84万/クリア71万。
2022-10-16,https://luckybancho.ldblog.jp/archives/57040847.html,1450000,TRUE,110000,450000,890000,未取得,未取得,2022-08-20,1310000,記載なし,medium,内訳合計145万＝総数145万（整合）。暁月開始111万/到達88万/クリア76万。
2022-08-20,https://luckybancho.ldblog.jp/archives/56903876.html,1310000,TRUE,140000,300000,870000,未取得,未取得,2022-06-27,1330000,記載なし,medium,内訳合計131万＝総数131万（整合）。暁月開始99万/到達77万/クリア66万。
2022-06-27,https://luckybancho.ldblog.jp/archives/56768707.html,1330000,TRUE,300000,200000,820000,未取得,未取得,2022-04-10,1700000,記載なし,medium,内訳合計132万≒総数133万（丸め整合）。暁月開始107万/到達81万/クリア71万。
2022-04-10,https://luckybancho.ldblog.jp/archives/56584369.html,1700000,TRUE,430000,160000,1100000,未取得,未取得,2022-01-03,1350000,記載なし,medium,内訳合計169万≒総数170万（丸め整合）。地域別：オセアニアDC 約4万弱。暁月開始133万/到達97万/クリア88万。
2022-01-03,https://luckybancho.ldblog.jp/archives/56364034.html,1350000,TRUE,180000,120000,1040000,未取得,未取得,2021-11-05,1620000,何かしらログインして操作を行ったシグナルとして使っていたHPの変更検知は削除／経験値の差分検知について、前回調査のデータの経験値部分をゼロに更新した上で今回の調査と比較（HP判定廃止＝減少方向、経験値判定強化）,medium,内訳合計134万≒総数135万（丸め整合）。暁月開始103万/到達64万/クリア57万/アーリーアクセス110万/CE版48万。
2021-11-05,https://luckybancho.ldblog.jp/archives/56220904.html,1620000,TRUE,560000,330000,730000,未取得,未取得,2021-07-18,1200000,記載なし,medium,内訳合計162万＝総数162万（整合）。漆黒開始151万/漆黒クリア101万/暁月アーリーアクセス86万。
2021-07-18,https://luckybancho.ldblog.jp/archives/55926283.html,1200000,TRUE,210000,230000,760000,未取得,未取得,2021-04-11,950000,フリートライアル拡張でレベル60以下をばっさり切った後の調査で初の100万越え（2020/9/22の基準変更への言及）,medium,新規は『約21万弱』表記。内訳合計120万＝総数120万（整合）。地域別増減：日本+5.5万、北米+14万、欧州+5.5万（絶対数の記載なし）。漆黒開始113万。
2021-04-11,https://luckybancho.ldblog.jp/archives/55652337.html,950000,TRUE,120000,140000,690000,未取得,未取得,2021-02-07,900000,記載なし,medium,新規は『約12万弱』表記。内訳合計95万＝総数95万（整合）。地域別増減：JP -2万、NA +4万、EU +2万（絶対数の記載なし）。
2021-02-07,https://luckybancho.ldblog.jp/archives/55464019.html,900000,TRUE,100000,120000,680000,未取得,未取得,2020-12-05,900000,前回フリートライアルの条件変更に対応して大幅に見直した（2020/9/22の変更を指す回顧的言及）,medium,内訳合計90万＝総数90万（整合）。漆黒開始86万。
2020-12-05,https://luckybancho.ldblog.jp/archives/55274008.html,900000,TRUE,130000,90000,690000,未取得,未取得,2020-09-22,970000,記載なし（足切りはレベル60超で維持）,medium,内訳合計91万≒総数90万（丸め整合）。漆黒開始85万。地域別：南方ボズヤ戦線開放比 JP 50% / NA・EU 40%（人数ではなく比率）。前回調査記事への直接リンクは記載なし。
2020-09-22,https://luckybancho.ldblog.jp/archives/55036037.html,970000,TRUE,80000,150000,730000,未取得,未取得,2020-08-04,1250000,【型2:連続調査値のみ】フリートライアル拡張（蒼天／レベル60まで無料化）に対応し、足切りをレベル60超（60ジャストを含まず）に変更。シンプルに紅蓮編の拡張以降のキャラクターをカウントすることにした。同一日の旧基準(Lv36以上)値は記事に併記なし＝定義変更の効果は分離不能,medium,内訳合計96万≒総数97万（丸め整合）。記事の125万は前回(2020/8/4)の調査値：『アクティブキャラクター数は前回(125万)から28万減少して約97万』。この-28万には定義変更・実勢変化・窓長効果が混在。基準変更で対象外になったキャラ数の明記なし。過去回を遡って再集計した記述も再確認では見当たらず（初回抽出では『削除扱い』の記述ありとされたが再確認で否定。要現物確認）。同日付でFAQ記事(55033904)も公開。漆黒開始89万。
2020-08-04,https://luckybancho.ldblog.jp/archives/54889479.html,1250000,TRUE,310000,270000,670000,未取得,未取得,2020-04-08,860000,パッチ5.3からフリートライアルが大幅に拡張され、蒼天のイシュガルド、つまりレベル60まで拡張されるようになる。そうなるとアクティブキャラクター判定も変更になるので現行のレベル36以上というのも今回までになる。（次回からの変更予告）,medium,内訳合計125万＝総数125万（整合）。漆黒開始94万。この回まで足切りはレベル36以上。
2020-04-08,https://luckybancho.ldblog.jp/archives/54501411.html,860000,TRUE,100000,110000,650000,未取得,未取得,2020-02-11,1040000,アクティブキャラクターの判定方法については従来と同様で特に変更はない,medium,内訳合計86万＝総数86万（整合）。漆黒開始69万。
2020-02-11,https://luckybancho.ldblog.jp/archives/54309309.html,1040000,TRUE,100000,120000,820000,未取得,未取得,2019-12-09,960000,アクティブキャラクターの判定方法については前回と同じで特に変更はない,medium,内訳合計104万＝総数104万（整合）。漆黒開始約79万。
2019-12-09,https://luckybancho.ldblog.jp/archives/54109524.html,960000,TRUE,160000,150000,650000,未取得,未取得,2019-10-23,1180000,アクティブキャラクターの判定方法については前回と同じで特に変更はない,medium,内訳合計96万＝総数96万（整合）。漆黒開始74万。記事内リンクは2019/11/23のイシュガルド復興記事(54048714)。
2019-10-23,https://luckybancho.ldblog.jp/archives/53942775.html,1180000,TRUE,180000,220000,790000,未取得,未取得,2019-07-29,940000,【型2:連続調査値のみ】前回は拡張前後のステータス反映式変更の影響を考慮して外していたHP変動での判定を復活させた。ジョブレベルブーストのサブキャラ判定も復活。同一日のHP判定なし値は記事に併記なし＝定義変更の効果は分離不能,medium,内訳合計119万≒総数118万（丸め整合）。地域別：EU 約25万、JP 40万に届きそう（NAの数値記載なし）。記事の94万は前回(2019/7/29)の調査値：『アクティブキャラクター数は前回(94万)から24万増加して約118万』。HP判定復活単独の影響量は記事に明記なし。前回データを新基準で再集計した記述もなし。
2019-07-29,https://luckybancho.ldblog.jp/archives/53640932.html,940000,TRUE,160000,100000,680000,未取得,未取得,2019-06-13,1010000,【型2:連続調査値のみ】今回、アクティブキャラクターの判定に従来用いていたHPの変化（装備の更新）は除外した。装備のステータスがHPの数値に反映する計算式が更新されると、休止中で装備の更新が無いキャラクターのHPも変化してアクティブ判定されてしまうため。同一日のHP判定あり値は記事に併記なし＝定義変更の効果は分離不能,medium,内訳合計94万＝総数94万（整合）。記事の101万は前回(2019/6/13)の調査値：『アクティブキャラクター数は前回(101万)から7万減少して約94万』。HP判定除外単独の影響量は記事に明記なし。
2019-06-13,https://luckybancho.ldblog.jp/archives/53486418.html,1010000,TRUE,230000,280000,490000,未取得,未取得,2019-02-10,590000,ワールド間テレポの実装と取得期間限定の4人乗りマウントを取るためにクエスト受託条件まで課金ブーストするサブキャラが上がってきたのかなと除外条件に加えるべく条件を見直して除外（カウントは減少方向）,medium,内訳合計100万≒総数101万（丸め整合）。紅蓮開始85万/紅蓮クリア(Lv70到達)62万/パッチ4.1クリア54万。
2019-02-10,https://luckybancho.ldblog.jp/archives/53012555.html,590000,TRUE,70000,90000,420000,未取得,未取得,2019-01-01,600000,従来のフリートライアル除外目的のレベル36以上という制約にハマってしまうので、今回から青魔道士はレベル1でもカウントするようにした（カウントは増加方向）,medium,継続は記事上『継続プレイヤー』表記。内訳合計58万≒総数59万（丸め整合）。紅蓮キャラクター約53万。
2019-01-01,https://luckybancho.ldblog.jp/archives/52873088.html,600000,TRUE,80000,120000,410000,未取得,未取得,2018-11-03,540000,記載なし（判定条件は『Lodestoneキャラクター検索でレベル36以上』『前回(11/3)の調査からレベル、経験値が変動している』『マウントの所持が1体以上』等6条件）,medium,内訳合計61万≒総数60万（丸め整合）。データ収集は大晦日に終了。
2018-11-03,https://luckybancho.ldblog.jp/archives/52634246.html,540000,TRUE,60000,60000,420000,未取得,未取得,2018-09-15,620000,記載なし,medium,継続は『約42万弱』表記。内訳合計54万＝総数54万（整合）。
2018-09-15,https://luckybancho.ldblog.jp/archives/52456144.html,620000,TRUE,100000,100000,420000,未取得,未取得,2018-07-15,570000,記載なし,medium,内訳合計62万＝総数62万（整合）。
2018-07-15,https://luckybancho.ldblog.jp/archives/52230420.html,570000,TRUE,80000,80000,410000,未取得,未取得,2018-05-19,620000,記載なし,medium,内訳合計57万＝総数57万（整合）。紅蓮キャラクター約51万。
2018-05-19,https://luckybancho.ldblog.jp/archives/52006528.html,620000,TRUE,100000,110000,400000,未取得,未取得,2018-03-11,530000,記載なし（判定条件は『レベル36以上』『レベル・経験値が変動』『ミニオン、マウント所持数が変化』『新規キャラクター』『マウント所持1体以上』『ジャンピングポーション使用かつ戦闘ジョブ最大レベル60のキャラを除外』）,medium,内訳合計61万≒総数62万（丸め整合）。地域別増減：JP +2万、NA +4万、EU +2万（絶対数の記載なし）。
2018-03-11,https://luckybancho.ldblog.jp/archives/51672960.html,530000,TRUE,70000,60000,400000,未取得,未取得,2018-01-27,600000,【型1:同一データ再集計】『侍、赤魔道士を開放してその後休止したキャラクター』が誤ってアクティブ判定されていた不具合を修正し、過去3回の同一データを集計し直した訂正値を掲載（バグはカウント過大方向）。訂正：2017/10/1 約83万→約80万(-3万)、2017/12/1 約81万→約65万(-16万)、2018/1/27 約82万→約60万(-22万),high,内訳合計53万＝総数53万（整合）。過去3回分の訂正値は本記事の表画像『アクティブキャラクター数訂正』に掲載（調査日・アクティブ・新規・復帰・継続・紅蓮開始・紅蓮クリアの修正値と訂正前との差）。本文テキストで確認できる差分は『12月1日の調査で16万、1月27日の調査で22万』のみで、81-16=65万、82-22=60万と整合。数値の主要部が画像内のためテキスト抽出は限定的で全桁値は取得不可。紅蓮クリア約47万。
2018-01-27,https://luckybancho.ldblog.jp/archives/51455720.html,820000,TRUE,70000,50000,700000,未取得,未取得,2017-12-01,810000,"ジャンピングポーション使用のサブキャラ除外処理を追加（34,864キャラクターを除外）。※2018/3/3:アクティブキャラクターの判定ミスがあり、アクティブキャラクター数に大幅な訂正が入っていますが、記事の内容は投稿当時のものになっています。",low,CSVの数値は訂正前（記事投稿当時）の値。訂正後の総数は次回記事(2018/3/11)で約60万とされる。内訳（新規7万/復帰5万/継続70万）は訂正前の値で、訂正後の内訳は未公表＝未取得。前回総数81万も訂正前値（訂正後は約65万）。
2017-12-01,https://luckybancho.ldblog.jp/archives/51169214.html,810000,TRUE,80000,50000,680000,未取得,未取得,2017-10-01,833000,ジャンピングポーション使用が確認された最大戦闘ジョブのレベルが60のキャラクター(レベル60から経験値取得しているのも含む)をサブキャラとして除外条件に加えた（カウントは減少方向）。※後に2018/3/11記事で約65万に訂正,medium,CSVの数値は訂正前の値。訂正後の総数は約65万（2018/3/11記事）。内訳合計81万＝総数81万（整合、いずれも訂正前）。前回総数は『前回より2万3千ほど減少』の記述からの逆算で約83.3万＝2017/10/1の訂正前値83万に対応。地域別：継続課金率 JP69% / NA55% / EU51%。記事タイトルは(12/1)、投稿日は2017/11/30。
2017-10-01,https://luckybancho.ldblog.jp/archives/50842146.html,830000,TRUE,160000,100000,570000,未取得,未取得,2017-07-15,660000,※2018/3/3:アクティブキャラクターの判定ミスがあり、アクティブキャラクター数に大幅な訂正が入っています（訂正後 約80万／2018/3/11記事）,medium,CSVの数値は訂正前の値。訂正後の総数は約80万。内訳合計83万＝総数83万（整合、いずれも訂正前）。
2017-07-15,https://luckybancho.ldblog.jp/archives/50400397.html,660000,TRUE,130000,90000,440000,未取得,未取得,2017-06-06,580000,今回に限りアクティブキャラクターの判定方法からHPの変動を除外、レベルや経験値の変動を要素に加えた。理由は、バトルシステム変更の影響でステータスのHP換算式に調整が入ったため（レベル・経験値判定の初導入）,medium,内訳合計66万＝総数66万（整合）。
2017-06-06,https://luckybancho.ldblog.jp/archives/50174008.html,580000,TRUE,120000,未取得,未取得,未取得,未取得,2017-03-13,560000,記載なし（判定条件は『Lodestoneキャラクター検索でレベル36以上』『前回(3/11)の調査からHPに変化がある』『前回から、ミニオン、マウント所持数が変化している』『前回調査では居なかった新規キャラクター』『マウントの所持が1体以上』）,medium,記事タイトルは(6/6)、投稿日は2017/6/5。復帰・継続の数値は記事に記載なし。前回総数は『前回より2万ほど増えて58万』の記述からの対応値（2017/3/13記事の56万と一致）。地域別の全桁数値の有無は2回の抽出で結果が食い違ったため未取得扱い。
2017-03-13,https://luckybancho.ldblog.jp/archives/49657028.html,560000,TRUE,160000,未取得,未取得,未取得,未取得,2016-11-26,500000,フリーカンパニー集計はLodestone検索結果から、対象をアクティブキャラクター1人以上所属するFCに限定し、メンバー数もアクティブキャラクターのみに絞った（FC集計側の変更）,low,復帰・継続の数値は記載なし（継続は『前回とほぼ変わらず』）。前回総数は『前回の50万切りから大きく回復』の記述に基づく。2016/11/26記事の実数は49万。
2016-11-26,https://luckybancho.ldblog.jp/archives/48947860.html,490000,TRUE,未取得,未取得,未取得,未取得,未取得,2016-08-11,未取得,フリートライアルのレベル上限引き上げに伴い、データ収集の起点となるLodestoneでのキャラクター検索情報からの足切りレベルを36以上としている（2016/8/11に導入した基準の継続）,low,新規・復帰・継続の内訳記載なし。前回総数の明記なし（『前回から微減だが、50万という数字を割り込んだ』）。蒼天まで進行39万／最新シナリオまで18万。
2016-08-11,https://luckybancho.ldblog.jp/archives/48208186.html,510000,TRUE,未取得,未取得,未取得,未取得,未取得,2016-04-20,660000,足切りレベルを36以上とした。理由は、フリートライアルでのレベル上限が35まで引き上げられたこと（カウントは減少方向：66万→51万）,low,新規・復帰・継続の内訳記載なし。前回総数として66万と記載されるが、2016/4/20記事自身の記載は約64万で食い違う。蒼天シナリオ進行約39万／最新シナリオ約22万。
2016-04-20,https://luckybancho.ldblog.jp/archives/47379481.html,640000,TRUE,未取得,未取得,未取得,未取得,未取得,2016-01-09,770000,前回の集計基準に加えて、Botキャラクター排除目的で『所持マウント1体以上』という条件を新たに追加した（実際の追加は前回2016/1/9。カウントは減少方向）,low,新規・復帰・継続の内訳記載なし。蒼天シナリオ進行約41万／メインシナリオ進行約26万。次回2016/8/11記事は前回を66万としており食い違う。
2016-01-09,https://luckybancho.ldblog.jp/archives/46515415.html,770000,TRUE,200000,未取得,未取得,未取得,未取得,2015-08-09,未取得,"今回、アクティブキャラクターの判定の条件に、従来のHP,ミニオン、マウント所持数の変化に加えて、Botキャラクターの排除を目的として所持マウント1体以上、というのを加えた（『マウント1体以上』条件の初導入。カウントは減少方向）",medium,復帰・継続の内訳記載なし。前回総数の明記なし（前回の新規キャラクター数28万のみ）。蒼天シナリオ進行46万／蒼天リリース時クリア39万／パッチ3.1クリア20万／2周年ミニオン28万。
2015-08-09,https://luckybancho.ldblog.jp/archives/45050121.html,820000,TRUE,280000,未取得,未取得,未取得,未取得,2015-04-19,730000,判定条件は『レベル21以上』『前回調査比でHP変化』『ミニオン/マウント所持数変化』『新規キャラクター』（マウント1体以上条件は未導入）,low,復帰・継続の内訳記載なし。レベル21以上全体は約200万。拡張3.0序盤クエスト完了38万／中盤32万。
2015-04-19,https://luckybancho.ldblog.jp/archives/43689452.html,733267,FALSE,255626,未取得,477641,未取得,未取得,2014-12-23,570000,前回あったハウジングの土地の取得状況を削除した。個人のハウジング情報はLodestoneから取れなかったので（出力項目の削除）,medium,"全桁表記あり。記事の用語は『今回新規のキャラクター』255,626 と『前回調査から更新があったキャラクター』477,641（本CSVでは後者をcontinuing列に格納）。復帰カテゴリは未定義。前回調査日は記事表記2014/12/23（実記事は12/24付）。"
2014-12-24,https://luckybancho.ldblog.jp/archives/41962303.html,574440,FALSE,172706,未取得,401734,未取得,未取得,2014-09-16,650000,『前回調査からHPに変化があったキャラクター』を判定基準に追加（メジャーパッチ1個分も進めば何かしら変化があるだろうという考え。カウントは増加方向）,medium,"全桁表記あり。アクティブ＝新規172,706＋HP変化401,734＝574,440。レベル21以上は1,609,633。データ取得は2014/12/16。復帰カテゴリは未定義。"
2014-09-16,https://luckybancho.ldblog.jp/archives/40214066.html,650000,TRUE,未取得,未取得,未取得,未取得,未取得,2014-05-22,未取得,レベル21以上のキャラを対象とし、新規ユーザーまたはミニオン・マウント所持数が増えた者をアクティブと変更（前回はレベル11以上。カウントは減少方向）,low,新規・復帰・継続の内訳記載なし。前回総数の明記なし。ベテランリワード270日保持者約30万／新生祭ミニオン所持者約20万／デイリーアクティブ推定約20万。
